,Transaction_ID,Timestamp,Vehicle_Type,FastagID,TollBoothID,Lane_Type,Vehicle_Dimensions,Transaction_Amount,Amount_paid,Geographical_Location,Vehicle_Speed,Vehicle_Plate_Number,Fraud_indicator,Date,Day,Hour
1379,1380,2023-02-22 09:30:00,Bus ,FTG-743-YZA-012,C-103,Regular,Large,340,60,"12.84197701525119, 77.67547528176169",86,KA28EF0123,1,2023-02-22,22,9
1869,1870,2023-02-22 12:45:00,Bus ,FTG-625-OPQ-890,C-103,Regular,Large,300,300,"12.936687032945434, 77.53113977439017",43,KA21OP1234,0,2023-02-22,22,12
3768,3769,2023-02-22 19:14:00,Car,FTG-112-LPO-202,A-101,Express,Small,100,100,"12.84197701525119, 77.67547528176169",72,AP67EF2345,0,2023-02-22,22,19
3681,3682,2023-02-22 20:45:00,Sedan,FTG-035-EDC-790,A-101,Regular,Medium,120,120,"12.84197701525119, 77.67547528176169",84,KA56RS0123,0,2023-02-22,22,20
687,688,2023-02-22 21:35:00,Car,FTG-692-BVC-651,A-101,Regular,Small,60,60,"13.042660878688794, 77.47580097259879",53,AP46GG5566,0,2023-02-22,22,21
597,598,2023-02-22 21:35:00,Motorcycle,,D-106,Regular,Small,0,0,"13.042660878688794, 77.47580097259879",51,KA87KL2345,0,2023-02-22,22,21
164,165,2023-02-22 22:35:00,Truck,FTG-135-LKJ-764,C-103,Express,Large,350,100,"13.059816123454882, 77.77068662374292",67,KA40MN6689,1,2023-02-22,22,22
426,427,2023-02-22 22:35:00,SUV,FTG-570-IJK-450,B-102,Express,Large,180,180,"13.059816123454882, 77.77068662374292",61,KA43ST6789,0,2023-02-22,22,22
47,48,2023-02-22 22:35:00,Sedan,FTG-048-JKL-653,A-101,Regular,Medium,160,160,"13.059816123454882, 77.77068662374292",79,KA45CD4567,0,2023-02-22,22,22
253,254,2023-02-22 22:35:00,Car,FTG-254-KJH-191,A-101,Regular,Small,120,120,"13.059816123454882, 77.77068662374292",82,KA49QR2567,0,2023-02-22,22,22
3550,3551,2023-02-23 01:47:00,Bus ,FTG-904-DEF-098,C-103,Express,Large,340,340,"12.84197701525119, 77.67547528176169",64,MH12CD4567,0,2023-02-23,23,1
3703,3704,2023-02-23 01:58:00,SUV,FTG-057-PLN-109,B-102,Regular,Large,150,150,"12.84197701525119, 77.67547528176169",74,KA34JK2345,0,2023-02-23,23,1
1553,1554,2023-02-23 03:15:00,SUV,FTG-431-VWX-567,B-102,Regular,Large,140,140,"12.936687032945434, 77.53113977439017",82,KA73UV2345,0,2023-02-23,23,3
2780,2781,2023-02-23 03:33:00,Bus ,FTG-081-TGB-098,C-103,Express,Large,350,350,"13.059816123454882, 77.77068662374292",69,KA14DE4567,0,2023-02-23,23,3
254,255,2023-02-23 04:15:00,Motorcycle,,D-105,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",70,KA52ST8801,0,2023-02-23,23,4
427,428,2023-02-23 04:15:00,Bus ,FTG-910-XYZ-120,C-103,Regular,Large,350,350,"13.059816123454882, 77.77068662374292",85,KA46UV0123,0,2023-02-23,23,4
48,49,2023-02-23 04:15:00,SUV,FTG-049-RFD-322,B-102,Express,Large,180,180,"13.059816123454882, 77.77068662374292",64,KA48EF8901,0,2023-02-23,23,4
165,166,2023-02-23 04:15:00,Van,FTG-136-HGT-431,B-102,Regular,Medium,140,90,"13.059816123454882, 77.77068662374292",95,KA43OP0223,1,2023-02-23,23,4
3372,3373,2023-02-23 04:18:00,Van,FTG-725-VBN-765,B-102,Express,Medium,110,110,"13.042660878688794, 77.47580097259879",45,KA89GH5678,0,2023-02-23,23,4
598,599,2023-02-23 04:20:00,Truck,FTG-679-RFD-541,C-103,Express,Large,290,180,"13.042660878688794, 77.47580097259879",44,KA80MN6789,1,2023-02-23,23,4
688,689,2023-02-23 04:20:00,Motorcycle,,D-106,Regular,Small,0,0,"13.042660878688794, 77.47580097259879",47,AP47HH7788,0,2023-02-23,23,4
3485,3486,2023-02-23 05:31:00,Sedan,FTG-839-UTY-543,A-101,Regular,Medium,100,60,"13.042660878688794, 77.47580097259879",77,KA12QR1234,1,2023-02-23,23,5
2893,2894,2023-02-23 06:28:00,Car,FTG-394-KJH-088,A-101,Regular,Small,120,120,"13.059816123454882, 77.77068662374292",79,KA89LM4567,0,2023-02-23,23,6
2259,2260,2023-02-23 09:45:00,Sedan,FTG-219-FRD-523,A-101,Regular,Medium,115,115,"13.21331620748757, 77.55413526894684",84,AP77QR3456,0,2023-02-23,23,9
4677,4678,2023-02-23 11:30:00,Bus ,FTG-137-NJI-109,C-103,Regular,Large,330,330,"13.21331620748757, 77.55413526894684",89,BR45IJ0123,0,2023-02-23,23,11
2828,2829,2023-02-23 12:23:00,SUV,FTG-329-QAZ-523,B-102,Express,Large,180,120,"13.059816123454882, 77.77068662374292",69,KA58DE0123,1,2023-02-23,23,12
1380,1381,2023-02-23 13:45:00,Car,FTG-976-BCD-345,A-101,Express,Small,100,100,"12.84197701525119, 77.67547528176169",50,KA31GH4567,0,2023-02-23,23,13
3237,3238,2023-02-23 15:05:00,Motorcycle,,D-106,Regular,Small,0,0,"13.042660878688794, 77.47580097259879",60,GJ23YZ4567,0,2023-02-23,23,15
1870,1871,2023-02-23 15:15:00,Car,FTG-859-RST-123,A-101,Express,Small,70,70,"12.936687032945434, 77.53113977439017",56,KA87QR5678,0,2023-02-23,23,15
3659,3660,2023-02-23 17:31:00,Van,FTG-013-POI-321,B-102,Regular,Medium,130,90,"12.84197701525119, 77.67547528176169",91,KA78ZA8901,1,2023-02-23,23,17
2963,2964,2023-02-23 18:18:00,Car,FTG-464-OKM-078,A-101,Regular,Small,120,120,"13.059816123454882, 77.77068662374292",92,KA89KL4567,0,2023-02-23,23,18
2623,2624,2023-02-23 18:36:00,Van,FTG-124-CDE-798,B-102,Regular,Medium,140,140,"13.059816123454882, 77.77068662374292",74,KA29EF4567,0,2023-02-23,23,18
3145,3146,2023-02-23 20:08:00,Car,FTG-826-PEM-432,A-101,Regular,Small,60,60,"13.042660878688794, 77.47580097259879",60,KL45CD2345,0,2023-02-23,23,20
4051,4052,2023-02-23 20:58:00,Van,FTG-101-QWE-987,B-102,Regular,Medium,120,110,"12.936687032945434, 77.53113977439017",70,KA78BC6789,1,2023-02-23,23,20
4376,4377,2023-02-23 21:15:00,Bus ,FTG-160-RST-000,C-103,Express,Large,300,300,"12.936687032945434, 77.53113977439017",42,UP56IJ8901,0,2023-02-23,23,21
3528,3529,2023-02-23 21:34:00,SUV,FTG-882-XCV-654,B-102,Express,Large,150,100,"12.84197701525119, 77.67547528176169",69,KA45QR5678,1,2023-02-23,23,21
2645,2646,2023-02-23 21:50:00,Sedan,FTG-126-POI-432,A-101,Regular,Medium,160,160,"13.059816123454882, 77.77068662374292",80,KA90ZU5678,0,2023-02-23,23,21
3441,3442,2023-02-24 00:04:00,Truck,FTG-794-KJH-098,C-103,Regular,Large,290,290,"13.042660878688794, 77.47580097259879",56,KA34MN5678,0,2023-02-24,24,0
2667,2668,2023-02-24 01:05:00,SUV,FTG-168-DRV-876,B-102,Regular,Large,180,180,"13.059816123454882, 77.77068662374292",80,KA70IJ8901,0,2023-02-24,24,1
4848,4849,2023-02-24 04:38:00,Truck,FTG-308-UVW-876,C-103,Express,Large,330,330,"13.21331620748757, 77.55413526894684",68,MH56WX4567,0,2023-02-24,24,4
1554,1555,2023-02-24 05:30:00,Bus ,FTG-664-YZA-890,C-103,Express,Large,300,120,"12.936687032945434, 77.53113977439017",63,KA76WX6789,1,2023-02-24,24,5
428,429,2023-02-24 08:50:00,Car,FTG-429-QAZ-534,A-101,Express,Small,120,120,"13.059816123454882, 77.77068662374292",49,KA49WX3456,0,2023-02-24,24,8
166,167,2023-02-24 08:50:00,Sedan,FTG-166-MKF-101,A-101,Express,Medium,160,160,"13.059816123454882, 77.77068662374292",55,KA46QR3567,0,2023-02-24,24,8
255,256,2023-02-24 08:50:00,Truck,FTG-256-LMK-133,C-103,Regular,Large,350,350,"13.059816123454882, 77.77068662374292",97,KA55UV2145,0,2023-02-24,24,8
49,50,2023-02-24 08:50:00,Bus ,FTG-040-HRT-098,C-103,Regular,Large,350,120,"13.059816123454882, 77.77068662374292",97,KA51GH2345,1,2023-02-24,24,8
2715,2716,2023-02-24 09:28:00,Sedan,FTG-216-NBH-442,A-101,Regular,Medium,160,60,"13.059816123454882, 77.77068662374292",89,KA50UV3344,1,2023-02-24,24,9
689,690,2023-02-24 10:10:00,Truck,FTG-130-XYZ-460,C-103,Regular,Large,290,290,"13.042660878688794, 77.47580097259879",51,AP48II9900,0,2023-02-24,24,10
599,600,2023-02-24 10:10:00,Van,FTG-780-UVW-540,B-102,Regular,Medium,110,110,"13.042660878688794, 77.47580097259879",59,KA13OP1123,0,2023-02-24,24,10
4805,4806,2023-02-24 11:36:00,Motorcycle,,D-106,Regular,Small,0,0,"13.21331620748757, 77.55413526894684",85,MH23OP2345,0,2023-02-24,24,11
4419,4420,2023-02-24 12:17:00,Car,FTG-409-RST-533,A-101,Regular,Small,70,0,"12.936687032945434, 77.53113977439017",105,WB34QR1234,1,2023-02-24,24,12
3746,3747,2023-02-24 16:01:00,Bus ,FTG-123-NMK-320,C-103,Express,Large,340,150,"12.84197701525119, 77.67547528176169",71,MH67EF4567,1,2023-02-24,24,16
2510,2511,2023-02-24 16:07:00,Truck,FTG-021-QRE-765,C-103,Express,Large,350,350,"13.059816123454882, 77.77068662374292",58,KA12RV0123,0,2023-02-24,24,16
2597,2598,2023-02-24 16:36:00,SUV,FTG-088-VFR-654,B-102,Regular,Large,180,180,"13.059816123454882, 77.77068662374292",81,KA18IJ9900,0,2023-02-24,24,16
4312,4313,2023-02-24 17:26:00,SUV,FTG-070-CDE-000,B-102,Express,Large,140,140,"12.936687032945434, 77.53113977439017",53,GA23QR4789,0,2023-02-24,24,17
1871,1872,2023-02-24 17:30:00,Motorcycle,FTG-092-UVW-456,D-106,Regular,Small,0,0,"12.936687032945434, 77.53113977439017",50,KA54ST9012,0,2023-02-24,24,17
3054,3055,2023-02-24 18:13:00,Car,FTG-635-EDC-745,A-101,Express,Small,60,60,"13.042660878688794, 77.47580097259879",52,KA67GH0123,0,2023-02-24,24,18
1381,1382,2023-02-24 18:15:00,Motorcycle,FTG-209-EFG-678,D-106,Regular,Small,0,0,"12.84197701525119, 77.67547528176169",75,KA34IJ8901,0,2023-02-24,24,18
4634,4635,2023-02-24 18:28:00,SUV,FTG-094-KJH-876,B-102,Express,Large,145,145,"13.21331620748757, 77.55413526894684",44,KA01OP4567,0,2023-02-24,24,18
3419,3420,2023-02-24 20:50:00,Motorcycle,,D-106,Regular,Small,0,0,"13.042660878688794, 77.47580097259879",70,KA01CD4567,0,2023-02-24,24,20
3076,3077,2023-02-24 21:23:00,Motorcycle,,D-106,Regular,Small,0,0,"13.042660878688794, 77.47580097259879",53,KA90UV0123,0,2023-02-24,24,21
2985,2986,2023-02-24 21:28:00,Motorcycle,,D-105,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",94,KA90BJ8901,0,2023-02-24,24,21
2554,2555,2023-02-24 22:34:00,Sedan,FTG-053-EDC-543,A-101,Express,Medium,160,160,"13.059816123454882, 77.77068662374292",65,KA67TB4567,0,2023-02-24,24,22
3098,3099,2023-02-25 00:23:00,Truck,FTG-679-RFD-543,C-103,Express,Large,290,290,"13.042660878688794, 77.47580097259879",44,KL23UV4567,0,2023-02-25,25,0
3463,3464,2023-02-25 02:18:00,Van,FTG-816-NBH-432,B-102,Regular,Medium,110,110,"13.042660878688794, 77.47580097259879",89,KA89CD1234,0,2023-02-25,25,2
4591,4592,2023-02-25 02:25:00,Sedan,FTG-051-YUI-765,A-101,Regular,Medium,115,115,"13.21331620748757, 77.55413526894684",84,BR45EF0123,0,2023-02-25,25,2
3394,3395,2023-02-25 03:28:00,Sedan,FTG-747-XCV-109,A-101,Express,Medium,100,100,"13.042660878688794, 77.47580097259879",89,KA12UV1234,0,2023-02-25,25,3
3921,3922,2023-02-25 05:26:00,Bus ,FTG-948-JKL-876,C-103,Regular,Large,340,340,"12.84197701525119, 77.67547528176169",77,GA78UV6789,0,2023-02-25,25,5
3102,3103,2023-02-25 05:53:00,Bus ,FTG-683-LKJ-321,C-103,Express,Large,290,290,"13.042660878688794, 77.47580097259879",56,KL89AB2345,0,2023-02-25,25,5
1555,1556,2023-02-25 07:45:00,Car,FTG-897-BCD-123,A-101,Regular,Small,70,70,"12.936687032945434, 77.53113977439017",67,KA79YZ0123,0,2023-02-25,25,7
2269,2270,2023-02-25 08:15:00,Car,FTG-229-QAZ-523,A-101,Regular,Small,90,90,"13.21331620748757, 77.55413526894684",82,GA80KL1234,0,2023-02-25,25,8
4548,4549,2023-02-25 11:23:00,Van,FTG-618-UYT-876,B-102,Express,Medium,125,115,"13.21331620748757, 77.55413526894684",53,GJ45YZ5678,1,2023-02-25,25,11
167,168,2023-02-25 13:30:00,SUV,FTG-168-DCV-871,B-102,Regular,Large,180,120,"13.059816123454882, 77.77068662374292",80,KA49ST8903,1,2023-02-25,25,13
429,430,2023-02-25 13:30:00,Motorcycle,,D-105,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",74,KA52YZ6789,0,2023-02-25,25,13
50,51,2023-02-25 13:30:00,Car,FTG-041-YUI-764,A-101,Express,Small,120,120,"13.059816123454882, 77.77068662374292",69,KA54IJ6789,0,2023-02-25,25,13
256,257,2023-02-25 13:30:00,Van,FTG-257-PLN-118,B-102,Express,Medium,140,140,"13.059816123454882, 77.77068662374292",47,KA58WX6589,0,2023-02-25,25,13
2850,2851,2023-02-25 15:33:00,Bus ,FTG-351-YUI-997,C-103,Express,Large,350,350,"13.059816123454882, 77.77068662374292",62,KA79DE4567,0,2023-02-25,25,15
690,691,2023-02-25 16:05:00,Van,FTG-813-POI-372,B-102,Express,Medium,110,110,"13.042660878688794, 77.47580097259879",44,AP49JJ1122,0,2023-02-25,25,16
600,601,2023-02-25 16:05:00,Sedan,FTG-681-BVC-981,A-101,Express,Medium,100,100,"13.042660878688794, 77.47580097259879",54,KA46QR2567,0,2023-02-25,25,16
4763,4764,2023-02-25 19:34:00,Motorcycle,,D-106,Regular,Small,0,0,"13.21331620748757, 77.55413526894684",80,TN90ST0123,0,2023-02-25,25,19
1872,1873,2023-02-25 19:45:00,Truck,FTG-325-XYZ-789,C-103,Express,Large,300,300,"12.936687032945434, 77.53113977439017",45,KA32UV2345,0,2023-02-25,25,19
4891,4892,2023-02-25 20:41:00,Van,FTG-351-YUI-981,B-102,Regular,Medium,125,125,"13.21331620748757, 77.55413526894684",73,MH89GH6789,0,2023-02-25,25,20
3167,3168,2023-02-25 22:28:00,Motorcycle,,D-106,Regular,Small,0,0,"13.042660878688794, 77.47580097259879",49,KL78QR2345,0,2023-02-25,25,22
1382,1383,2023-02-25 22:30:00,Truck,FTG-442-HIJ-901,C-103,Express,Large,340,100,"12.84197701525119, 77.67547528176169",70,KA37KL2345,1,2023-02-25,25,22
1383,1384,2023-02-26 02:00:00,Van,FTG-675-KLM-234,B-102,Regular,Medium,130,130,"12.84197701525119, 77.67547528176169",93,KA40MN6789,0,2023-02-26,26,2
4269,4270,2023-02-26 02:26:00,Sedan,FTG-073-FGH-333,A-101,Regular,Medium,110,110,"12.936687032945434, 77.53113977439017",57,GA90IJ8901,0,2023-02-26,26,2
4720,4721,2023-02-26 03:32:00,Car,FTG-180-TGB-210,A-101,Express,Small,90,100,"13.21331620748757, 77.55413526894684",55,TN67KL8901,1,2023-02-26,26,3
2920,2921,2023-02-26 03:33:00,Bus ,FTG-421-BVC-947,C-103,Express,Large,350,350,"13.059816123454882, 77.77068662374292",52,KA89JK4567,0,2023-02-26,26,3
2576,2577,2023-02-26 03:48:00,SUV,FTG-067-LMK-987,B-102,Express,Large,180,180,"13.059816123454882, 77.77068662374292",69,KA45RS6719,0,2023-02-26,26,3
4462,4463,2023-02-26 04:19:00,Motorcycle,,D-106,Regular,Small,0,0,"12.936687032945434, 77.53113977439017",64,MP12YZ5678,0,2023-02-26,26,4
3638,3639,2023-02-26 05:43:00,Van,FTG-992-BVC-654,B-102,Express,Medium,130,100,"12.84197701525119, 77.67547528176169",44,KA23JK8901,1,2023-02-26,26,5
2602,2603,2023-02-26 06:48:00,Van,FTG-131-PQR-321,B-102,Express,Medium,140,120,"13.059816123454882, 77.77068662374292",55,KA23ST9900,1,2023-02-26,26,6
4204,4205,2023-02-26 07:09:00,Truck,FTG-008-VWX-888,C-103,Express,Large,300,300,"12.936687032945434, 77.53113977439017",57,DL12MN0123,0,2023-02-26,26,7
4117,4118,2023-02-26 07:39:00,Bus ,FTG-107-JKL-169,C-103,Regular,Large,300,120,"12.936687032945434, 77.53113977439017",58,MH67AB6789,1,2023-02-26,26,7
3507,3508,2023-02-26 09:45:00,SUV,FTG-861-POU-987,B-102,Regular,Large,150,150,"12.84197701525119, 77.67547528176169",92,KA12AB5678,0,2023-02-26,26,9
1556,1557,2023-02-26 10:15:00,Motorcycle,FTG-130-EFG-456,D-106,Regular,Small,0,0,"12.936687032945434, 77.53113977439017",74,KA82AB3456,0,2023-02-26,26,10
2737,2738,2023-02-26 12:38:00,SUV,FTG-218-LKJ-876,B-102,Regular,Large,180,120,"13.059816123454882, 77.77068662374292",77,KA70IJ3344,1,2023-02-26,26,12
3572,3573,2023-02-26 18:01:00,Car,FTG-926-PLM-432,A-101,Express,Small,100,80,"12.84197701525119, 77.67547528176169",62,KA90UV5678,1,2023-02-26,26,18
168,169,2023-02-26 18:05:00,Bus ,FTG-169-NBH-542,C-103,Express,Large,350,350,"13.059816123454882, 77.77068662374292",62,KA52UV2348,0,2023-02-26,26,18
257,258,2023-02-26 18:05:00,Sedan,FTG-258-VFR-178,A-101,Regular,Medium,160,160,"13.059816123454882, 77.77068662374292",84,KA61YZ1123,0,2023-02-26,26,18
430,431,2023-02-26 18:05:00,Truck,FTG-431-ZAS-945,C-103,Express,Large,350,350,"13.059816123454882, 77.77068662374292",69,KA55AB0123,0,2023-02-26,26,18
51,52,2023-02-26 18:05:00,Motorcycle,,D-104,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",94,KA57KL0123,0,2023-02-26,26,18
1873,1874,2023-02-26 22:15:00,Van,FTG-558-BCA-012,B-102,Regular,Medium,120,120,"12.936687032945434, 77.53113977439017",55,KA65WX6789,0,2023-02-26,26,22
691,692,2023-02-26 22:55:00,Sedan,FTG-470-PQR-720,A-101,Regular,Medium,100,60,"13.042660878688794, 77.47580097259879",58,AP50KK3344,1,2023-02-26,26,22
601,602,2023-02-26 22:55:00,SUV,FTG-682-XCV-658,B-102,Regular,Large,130,130,"13.042660878688794, 77.47580097259879",43,KA49ST2901,0,2023-02-26,26,22
3327,3328,2023-02-26 23:05:00,Car,FTG-584-POU-098,A-101,Regular,Small,60,60,"13.042660878688794, 77.47580097259879",56,KA89JB1234,0,2023-02-26,26,23
3986,3987,2023-02-27 00:42:00,Motorcycle,,D-106,Regular,Small,0,0,"12.84197701525119, 77.67547528176169",58,KA23KL5678,0,2023-02-27,27,0
3899,3900,2023-02-27 01:12:00,SUV,FTG-793-NBH-367,B-102,Regular,Large,150,150,"12.84197701525119, 77.67547528176169",85,GA56CD8901,0,2023-02-27,27,1
3812,3813,2023-02-27 01:42:00,Truck,FTG-108-VFR-876,C-103,Express,Large,340,340,"12.84197701525119, 77.67547528176169",66,TN78AB6789,0,2023-02-27,27,1
4182,4183,2023-02-27 03:55:00,Motorcycle,,D-106,Regular,Small,0,0,"12.936687032945434, 77.53113977439017",75,DL45UV4567,0,2023-02-27,27,3
3011,3012,2023-02-27 03:58:00,Bus ,FTG-512-ZRC-654,C-103,Regular,Large,290,290,"13.042660878688794, 77.47580097259879",88,KA12EF0123,0,2023-02-27,27,3
2689,2690,2023-02-27 04:18:00,Bus ,FTG-130-RFD-210,C-103,Regular,Large,350,350,"13.059816123454882, 77.77068662374292",79,KA90WX8901,0,2023-02-27,27,4
602,603,2023-02-27 05:40:00,Bus ,FTG-683-LKJ-327,C-103,Express,Large,290,290,"13.042660878688794, 77.47580097259879",56,KA52UV1345,0,2023-02-27,27,5
692,693,2023-02-27 05:40:00,SUV,FTG-827-HGT-172,B-102,Express,Large,130,0,"13.042660878688794, 77.47580097259879",54,GA02CD5678,1,2023-02-27,27,5
3834,3835,2023-02-27 05:56:00,Van,FTG-120-TYU-110,B-102,Express,Medium,130,130,"12.84197701525119, 77.67547528176169",50,TN90RS4567,0,2023-02-27,27,5
1384,1385,2023-02-27 06:15:00,Sedan,FTG-908-NOP-567,A-101,Express,Medium,120,120,"12.84197701525119, 77.67547528176169",58,KA43OP0123,0,2023-02-27,27,6
2279,2280,2023-02-27 06:45:00,Van,FTG-239-UTY-543,B-102,Regular,Medium,125,125,"13.21331620748757, 77.55413526894684",89,MH83EF9012,0,2023-02-27,27,6
3856,3857,2023-02-27 09:10:00,Sedan,FTG-112-VBN-654,A-101,Express,Medium,120,90,"12.84197701525119, 77.67547528176169",63,TN12JK3456,1,2023-02-27,27,9
3943,3944,2023-02-27 09:39:00,Car,FTG-125-VBN-769,A-101,Regular,Small,100,100,"12.84197701525119, 77.67547528176169",97,GA90LM4567,0,2023-02-27,27,9
4139,4140,2023-02-27 10:53:00,Car,FTG-129-QHZ-543,A-101,Regular,Small,70,70,"12.936687032945434, 77.53113977439017",75,DL23MN6789,0,2023-02-27,27,10
1557,1558,2023-02-27 12:30:00,Truck,FTG-363-HIJ-789,C-103,Regular,Large,300,300,"12.936687032945434, 77.53113977439017",79,KA85CD7890,0,2023-02-27,27,12
4934,4935,2023-02-27 14:43:00,Sedan,FTG-394-KJH-093,A-101,Express,Medium,115,115,"13.21331620748757, 77.55413526894684",61,AP12AB8901,0,2023-02-27,27,14
2532,2533,2023-02-27 19:20:00,Van,FTG-033-JCP-109,B-102,Express,Medium,140,140,"13.059816123454882, 77.77068662374292",66,KA89HI1235,0,2023-02-27,27,19
4505,4506,2023-02-27 19:21:00,Truck,FTG-495-EDC-765,C-103,Regular,Large,330,330,"13.21331620748757, 77.55413526894684",77,KL12QR7890,0,2023-02-27,27,19
4247,4248,2023-02-27 22:12:00,Van,FTG-051-IJK-111,B-102,Regular,Medium,120,90,"12.936687032945434, 77.53113977439017",49,KA34MN6289,1,2023-02-27,27,22
431,432,2023-02-27 23:40:00,Van,FTG-432-IXC-631,B-102,Regular,Medium,140,140,"13.059816123454882, 77.77068662374292",92,KA58CD4567,0,2023-02-27,27,23
169,170,2023-02-27 23:40:00,Car,FTG-140-POI-211,A-101,Regular,Small,120,120,"13.059816123454882, 77.77068662374292",87,KA45WX6789,0,2023-02-27,27,23
52,53,2023-02-27 23:40:00,Truck,FTG-043-NBH-106,C-103,Express,Large,350,100,"13.059816123454882, 77.77068662374292",54,KA60MN4567,1,2023-02-27,27,23
258,259,2023-02-27 23:40:00,SUV,FTG-259-WSX-148,B-102,Express,Large,180,100,"13.059816123454882, 77.77068662374292",65,KA64AB1345,1,2023-02-27,27,23
1874,1875,2023-02-28 00:30:00,Sedan,FTG-791-DEF-345,A-101,Express,Medium,110,70,"12.936687032945434, 77.53113977439017",48,KA98YZ0121,1,2023-02-28,28,0
2807,2808,2023-02-28 00:38:00,SUV,FTG-269-NGH-543,B-102,Regular,Large,180,160,"13.059816123454882, 77.77068662374292",82,KA39DE4567,1,2023-02-28,28,0
3616,3617,2023-02-28 02:29:00,Truck,FTG-970-POI-210,C-103,Express,Large,340,340,"12.84197701525119, 77.67547528176169",70,KA45RS6789,0,2023-02-28,28,2
4095,4096,2023-02-28 04:26:00,SUV,FTG-085-ZXC-513,B-102,Regular,Large,140,140,"12.936687032945434, 77.53113977439017",82,KA12UV5678,0,2023-02-28,28,4
4008,4009,2023-02-28 04:55:00,Truck,FTG-137-ABC-995,C-103,Express,Large,300,70,"12.936687032945434, 77.53113977439017",58,KA45UV4567,1,2023-02-28,28,4
259,260,2023-02-28 05:20:00,Bus ,FTG-260-QAZ-115,C-103,Regular,Large,350,350,"13.059816123454882, 77.77068662374292",92,KA67CD6189,0,2023-02-28,28,5
432,433,2023-02-28 05:20:00,Sedan,FTG-433-JOP-332,A-101,Express,Medium,160,100,"13.059816123454882, 77.77068662374292",57,KA61EF8901,1,2023-02-28,28,5
53,54,2023-02-28 05:20:00,Van,FTG-044-KJH-875,B-102,Regular,Medium,140,140,"13.059816123454882, 77.77068662374292",81,KA63OP8901,0,2023-02-28,28,5
170,171,2023-02-28 05:20:00,Motorcycle,,D-105,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",47,KA58YZ0323,0,2023-02-28,28,5
2942,2943,2023-02-28 06:33:00,Car,FTG-443-QWE-391,A-101,Express,Small,120,120,"13.059816123454882, 77.77068662374292",64,KA01YZ8901,0,2023-02-28,28,6
3350,3351,2023-02-28 08:40:00,Truck,FTG-703-PQR-321,C-103,Express,Large,290,290,"13.042660878688794, 77.47580097259879",87,KA89GH8901,0,2023-02-28,28,8
1385,1386,2023-02-28 10:30:00,SUV,FTG-141-QRS-890,B-102,Regular,Large,150,150,"12.84197701525119, 77.67547528176169",84,KA46QR4567,0,2023-02-28,28,10
603,604,2023-02-28 11:30:00,Car,FTG-684-POU-094,A-101,Regular,Small,60,60,"13.042660878688794, 77.47580097259879",50,KA55WX6189,0,2023-02-28,28,11
693,694,2023-02-28 11:30:00,Bus ,FTG-834-RFV-792,C-103,Regular,Large,290,290,"13.042660878688794, 77.47580097259879",43,GA03EF9101,0,2023-02-28,28,11
1558,1559,2023-02-28 14:45:00,Van,FTG-596-KLM-012,B-102,Express,Medium,120,120,"12.936687032945434, 77.53113977439017",55,KA88EF1234,0,2023-02-28,28,14
3594,3595,2023-02-28 22:15:00,Motorcycle,,D-106,Regular,Small,0,0,"12.84197701525119, 77.67547528176169",67,KA67ZE4567,0,2023-02-28,28,22
3790,3791,2023-02-28 22:28:00,Motorcycle,,D-106,Regular,Small,0,0,"12.84197701525119, 77.67547528176169",54,TN56IJ8901,0,2023-02-28,28,22
3189,3190,2023-03-01 00:58:00,Truck,FTG-806-GHI-412,C-103,Regular,Large,290,290,"13.042660878688794, 77.47580097259879",51,KL34GH4567,0,2023-03-01,1,0
3725,3726,2023-03-01 04:12:00,Bus ,FTG-054-KJH-107,C-103,Regular,Large,340,340,"12.84197701525119, 77.67547528176169",83,MH90OP4567,0,2023-03-01,1,4
2288,2289,2023-03-01 05:15:00,SUV,FTG-248-JKL-896,B-102,Express,Large,145,145,"13.21331620748757, 77.55413526894684",47,MH86WX5678,0,2023-03-01,1,5
3216,3217,2023-03-01 05:30:00,Motorcycle,,D-106,Regular,Small,0,0,"13.042660878688794, 77.47580097259879",55,GJ23MN6789,0,2023-03-01,1,5
3033,3034,2023-03-01 06:38:00,Car,FTG-614-KIH-098,A-101,Regular,Small,60,60,"13.042660878688794, 77.47580097259879",82,KA67UV2345,0,2023-03-01,1,6
3124,3125,2023-03-01 09:13:00,Car,FTG-805-LMN-165,A-101,Express,Small,60,60,"13.042660878688794, 77.47580097259879",55,KL45QR4567,0,2023-03-01,1,9
4355,4356,2023-03-01 09:26:00,Bus ,FTG-139-VWX-999,C-103,Regular,Large,300,300,"12.936687032945434, 77.53113977439017",48,GA45YZ4567,0,2023-03-01,1,9
54,55,2023-03-01 09:50:00,Sedan,FTG-053-EDC-545,A-101,Express,Medium,160,90,"13.059816123454882, 77.77068662374292",65,KA66QR2345,1,2023-03-01,1,9
433,434,2023-03-01 09:50:00,SUV,FTG-434-RFV-082,B-102,Regular,Large,180,90,"13.059816123454882, 77.77068662374292",83,KA64GH2345,1,2023-03-01,1,9
260,261,2023-03-01 09:50:00,Car,FTG-261-POU-918,A-101,Express,Small,120,120,"13.059816123454882, 77.77068662374292",53,KA70EF0223,0,2023-03-01,1,9
